name,birthArea,birthDate,foot,role,height,passportArea,weight,Id
Kyle Naughton,England,1988-11-11,right,DF,180,Ireland Republic,73,8336
James Tomkins,England,1989-03-29,right,DF,192,England,74,8554
Jordon Mutch,England,1991-12-02,right,MD,188,England,81,8111
Leroy Fer,Netherlands,1990-01-05,right,MD,188,Cura\u00e7ao,79,262
Scott Dann,England,1987-02-14,right,DF,195,England,78,8186
Kieran  Gibbs,England,1989-09-26,left,DF,181,England,70,7853
Chung-Yong Lee,Korea Republic,1988-07-02,right,MD,180,Korea Republic,69,8049
Geoff Cameron,United States,1985-07-11,right,DF,191,United States,84,58978
Asmir Begovi\u0107,Bosnia-Herzegovina,1987-06-20,right,GK,199,Canada,101,8726
Morgan Schneiderlin,France,1989-11-08,right,MD,185,France,75,8143
Markus Suttner,Austria,1987-04-16,left,DF,179,Austria,73,64966
Ashley Barnes,England,1989-10-30,right,FW,186,England,76,9123
Bakary Sako,France,1988-04-26,left,MD,184,Mali,90,25865
Pierre-Emerick Aubameyang,France,1989-06-18,right,FW,187,Gabon,80,25867
Laurent Koscielny,France,1985-09-10,right,DF,186,Poland,75,7855
Etienne Capoue,France,1988-07-11,right,MD,190,Guadeloupe,87,25798
Rajiv van La Parra,Netherlands,1991-06-04,right,MD,181,Suriname,72,173
Henrikh Mkhitaryan,Armenia,1989-01-21,right,MD,177,Armenia,75,105338
J\u00e9r\u00e9my Pied,France,1989-02-23,right,DF,173,France,69,25415
Allan-Romeo Nyom,France,1988-05-10,right,DF,189,Cameroon,80,5281
Jason Puncheon,England,1986-06-26,left,MD,173,Jamaica,71,8142
Hal Robson-Kanu,England,1989-05-21,left,FW,183,Wales,83,8686
James McArthur,Scotland,1987-10-07,right,MD,178,Scotland,64,8623
James McCarthy,Scotland,1990-11-12,right,MD,180,Ireland Republic,72,8624
Wes Morgan,England,1984-01-21,right,DF,186,Jamaica,101,8488
\u00c0ngel Rangel Zaragoza,Spain,1982-10-28,right,DF,180,Spain,82,77541
Niki M\u00e4enp\u00e4\u00e4,Finland,1985-01-23,right,GK,190,Finland,85,71
Ben Hamer,England,1987-11-20,right,GK,193,England,78,8066
Marc Pugh,England,1987-04-02,right,MD,180,England,72,9293
Matt Phillips,England,1991-03-13,right,MD,185,Scotland,75,9414
Glenn Murray,England,1983-09-25,right,FW,185,England,84,8416
Jake Livermore,England,1989-11-14,right,MD,181,England,76,8285
Sam Baldock,England,1989-03-15,right,FW,170,England,67,8566
Dale Stephens,England,1989-12-12,right,MD,185,England,71,8086
Simon Francis,England,1985-02-16,right,DF,191,England,90,9279
Aaron Cresswell,England,1989-12-15,left,DF,170,England,66,8582
Troy Deeney,England,1988-06-29,right,FW,183,Jamaica,90,8903
Jonjo Shelvey,England,1992-02-27,right,MD,184,England,83,7967
Christian Benteke Liolo,Congo DR,1990-12-03,right,FW,190,Belgium,83,38031
Victor Wanyama,Kenya,1991-06-25,right,MD,184,Kenya,87,61967
Matty James,England,1991-07-22,right,MD,181,England,86,192748
Chris L\u00f6we,Germany,1989-04-16,left,DF,173,Germany,63,14796
Daniel Williams,Germany,1989-03-08,right,MD,182,United States,76,15823
Tomer Hemed,Israel,1987-05-02,right,FW,186,Poland,80,3657
Rhu-endly Martina,Netherlands,1989-09-25,right,DF,185,Cura\u00e7ao,77,340
Mohamed Diam\u00e9,France,1987-06-14,right,MD,185,Senegal,80,8620
Jos\u00e9 Salom\u00f3n Rond\u00f3n Gim\u00e9nez,Venezuela,1989-09-16,right,FW,186,Venezuela,85,3577
Jos\u00e9 Leonardo Ulloa,Argentina,1986-07-26,right,FW,185,Argentina,89,4255
Francisco Femen\u00eda Far,Spain,1991-02-02,right,DF,174,Spain,61,3351
Daryl Janmaat,Netherlands,1989-07-22,right,DF,185,Netherlands,80,160
Wilfried Guemiand Bony,C\u00f4te d'Ivoire,1988-12-10,right,FW,182,C\u00f4te d'Ivoire,90,471
Adri\u00e1n San Miguel del Castillo,Spain,1987-01-03,right,GK,190,Spain,80,3582
Charlie Daniels,England,1986-09-07,left,DF,178,England,75,9285
Beram Kayal,Israel,1988-05-02,right,MD,178,Israel,74,61961
Jack Wilshere,England,1992-01-01,left,MD,172,England,68,7873
Martin Kelly,England,1990-04-27,right,DF,191,England,77,7958
Pedro Eliezer Rodr\u00edguez Ledesma,Spain,1987-07-28,right,FW,167,Spain,62,3360
Federico Fern\u00e1ndez,Argentina,1989-02-21,right,DF,190,Italy,83,21164
Matt Ritchie,England,1989-09-10,left,MD,173,Scotland,71,9227
Joel Ward,England,1989-10-29,right,DF,188,England,83,8221
Nathaniel Clyne,England,1991-04-05,right,DF,175,Grenada,67,8392
Luciano Narsingh,Netherlands,1990-09-13,right,MD,175,Suriname,75,179
Ashley Westwood,England,1990-04-01,right,MD,170,England,67,8925
Eliaquim Mangala,France,1991-02-13,left,DF,188,Belgium,84,70085
Marvin  Zeegelaar,Netherlands,1990-08-12,left,DF,186,Suriname,81,189821
Junior Stanislas,England,1989-11-26,right,MD,183,St. Lucia,76,8959
Daley Blind,Netherlands,1990-03-09,left,DF,180,Netherlands,72,38
Faustino Marcos Alberto Rojo,Argentina,1990-03-20,left,DF,187,Argentina,80,101652
Tom Cleverley,England,1989-08-12,right,MD,175,England,67,7929
Yannick Bolasie Yala,France,1989-05-24,right,MD,185,England,84,9194
Ander Herrera Ag\u00fcera,Spain,1989-08-14,right,MD,182,Spain,73,3413
Michail Antonio,England,1990-03-28,right,FW,180,Jamaica,82,8677
Marc Albrighton,England,1989-11-18,right,MD,175,England,74,8013
Andros Townsend,England,1991-07-16,left,MD,181,England,77,8471
Chris Wood,New Zealand,1991-12-07,right,FW,191,New Zealand,95,9206
Scott Malone,England,1991-03-25,left,DF,189,England,75,9280
Pascal Gro\u00df,Germany,1991-06-15,right,MD,181,Germany,78,15526
Jos\u00e9 Luis Sanmart\u00edn Mato,Germany,1990-03-27,right,FW,192,Spain,80,3327
Chris Smalling,England,1989-11-22,right,DF,193,England,81,7922
Erik Lamela,Argentina,1992-03-04,left,MD,181,Argentina,80,20441
Andre Gray,England,1991-06-26,right,FW,180,Jamaica,78,10663
Matthew Lowton,England,1989-06-09,right,DF,180,England,78,8643
Davy Pr\u00f6pper,Netherlands,1991-09-02,right,MD,185,Netherlands,72,466
Alexandre Lacazette,France,1991-05-28,right,FW,175,Guadeloupe,73,25413
Patrick  van Aanholt,Netherlands,1990-08-29,left,DF,175,Cura\u00e7ao,67,454
Adam Smith,England,1991-04-29,right,DF,180,England,78,8460
Craig Dawson,England,1990-05-06,right,DF,189,England,85,8360
Callum Wilson,England,1992-02-27,right,FW,180,Ireland Republic,66,11669
Jonathan Hogg,England,1988-12-06,right,MD,177,England,73,8897
Islam Slimani,Algeria,1988-06-18,right,FW,188,Algeria,83,119630
Danny Drinkwater,England,1990-03-05,right,MD,177,England,70,8495
Laurent Depoitre,Belgium,1988-12-07,right,FW,191,Belgium,90,38377
Joshua King,Norway,1992-01-15,right,FW,180,Gambia,74,9637
Sam Clucas,England,1990-09-25,left,MD,178,England,75,10252
Grzegorz Krychowiak,Poland,1990-01-29,right,MD,187,Poland,84,25537
Jordan Ayew,France,1991-09-11,right,FW,182,Ghana,81,25571
Joel Robles Bl\u00e1zquez,Spain,1990-06-17,right,GK,195,Spain,90,4320
Pape  N'Diaye Souar\u00e9,Senegal,1990-06-06,left,DF,178,Senegal,68,25703
Luke Garbutt,England,1993-05-21,left,DF,178,England,73,9939
Shkodran Mustafi,Germany,1992-04-17,right,DF,184,Albania,82,20612
Oriol Romeu Vidal,Spain,1991-09-24,right,MD,183,Spain,83,7899
Ben Mee,England,1989-09-21,left,DF,180,England,74,8944
Charlie Austin,England,1989-07-05,right,FW,188,England,84,8953
Jo\u00ebl Andre Job Matip,Germany,1991-08-08,right,DF,195,Cameroon,90,14870
Bruno Martins Indi,Portugal,1992-02-08,left,DF,185,Netherlands,80,134
Christopher Schindler,Germany,1990-04-29,right,DF,189,Germany,82,15215
Kyle Bartley,England,1991-05-22,right,DF,194,Jamaica,94,61979
Florian Lejeune,France,1991-05-20,right,DF,190,France,81,3523
Karl Darlow,England,1990-10-08,right,GK,185,Wales,79,8826
Jos\u00e9 Heriberto Izquierdo Mena,Colombia,1992-07-07,right,FW,171,Colombia,75,91381
Alex Oxlade-Chamberlain,England,1993-08-15,right,MD,175,Jamaica,70,7868
Wilfried Zaha,C\u00f4te d'Ivoire,1992-11-10,right,MD,180,England,66,8422
Elias Kachunga,Germany,1992-04-22,right,FW,178,Congo DR,74,16122
Ji\u0159\u00ed Skal\u00e1k,Czech Republic,1992-03-12,right,MD,177,Czech Republic,76,104745
Collin Quaner,Germany,1991-06-18,right,FW,191,Ghana,79,16436
Fredrik Ulvestad,Norway,1992-05-19,right,MD,183,Norway,83,54762
Robbie Brady,Ireland Republic,1992-01-14,left,MD,175,Ireland Republic,71,9623
Tom Ince,England,1992-01-30,left,MD,178,England,66,9419
Jakob Haugaard,Denmark,1992-05-01,left,GK,199,Denmark,87,56429
Anthony Knockaert,France,1991-11-20,left,MD,172,Belgium,69,25950
Danny Ings,England,1992-07-23,right,FW,178,England,73,8955
Steve Cook,England,1991-04-19,right,DF,185,England,82,9277
Manuel Lanzini,Argentina,1993-02-15,right,MD,167,Italy,59,41174
Muhamed Be\u0161i\u0107,Germany,1992-09-10,right,MD,177,Bosnia-Herzegovina,78,14886
Michael Hefele,Germany,1990-09-01,right,DF,192,Germany,91,15474
Nathan Redmond,England,1994-03-06,right,MD,173,Ireland Republic,75,8116
Saido Berahino,Burundi,1993-08-04,right,FW,180,England,83,9532
Connor Goldson,England,1992-12-18,right,DF,191,England,85,13451
Jack Stephens,England,1994-01-27,right,DF,185,England,84,8136
Serge Aurier,C\u00f4te d'Ivoire,1992-12-24,right,DF,176,France,76,25785
Riyad Mahrez,France,1991-02-21,left,MD,179,Algeria,62,26150
Benik Afobe,England,1993-02-12,right,FW,183,Congo DR,78,134351
Davy Klaassen,Netherlands,1993-02-21,right,MD,179,Netherlands,70,56
J\u00fcrgen Locadia,Netherlands,1993-11-07,right,FW,185,Cura\u00e7ao,78,120
Konstantinos Stafylidis,Greece,1993-12-02,left,DF,178,Greece,77,92947
Ryan Fraser,Scotland,1994-02-24,right,MD,163,Scotland,62,62224
Massadio Ha\u00efdara,France,1992-12-02,left,DF,179,Senegal,76,26109
Jes\u00e9 Rodr\u00edguez Ruiz,Spain,1993-02-26,right,FW,178,Spain,73,3326
Terence Kongolo,Netherlands,1994-02-14,left,DF,188,Congo DR,70,132
Abdoulaye Doucour\u00e9,France,1993-01-01,right,MD,183,Mali,75,28292
Jon Flanagan,England,1993-01-01,right,DF,181,Ireland Republic,69,7956
Nahki Wells,Bermuda,1990-06-01,right,FW,174,Bermuda,75,9179
James  Tarkowski,England,1992-11-19,right,DF,191,Poland,81,9433
Tom Carroll,England,1992-05-28,left,MD,178,England,66,8976
Tiemou\u00e9 Bakayoko,France,1994-08-17,right,MD,184,C\u00f4te d'Ivoire,72,28291
Freddie Ladapo,England,1993-02-01,right,FW,187,Nigeria,79,13745
Jeffrey  Schlupp,Germany,1992-12-23,left,DF,178,Ghana,72,8501
Aymeric  Laporte,France,1994-05-27,left,DF,191,Spain,86,134502
Nathan Ak\u00e9,Netherlands,1995-02-18,left,DF,180,C\u00f4te d'Ivoire,75,134102
Brad Smith,Australia,1994-04-09,left,DF,177,England,70,11061
Jay Fulton,England,1994-04-04,right,MD,178,Scotland,68,62344
Virgil van Dijk,Netherlands,1991-07-08,right,DF,193,Netherlands,92,370
Mike van der Hoorn,Netherlands,1992-10-15,right,DF,190,Netherlands,81,284
Christian  Atsu Twasam,Ghana,1992-01-10,left,MD,172,Ghana,68,70215
Jamal Lascelles,England,1993-11-11,right,DF,189,England,83,8833
Guido Marcelo Carrillo,Argentina,1991-05-25,right,FW,191,Italy,87,86239
Alberto Moreno P\u00e9rez,Spain,1992-07-05,left,DF,171,Spain,65,4908
Chancel Mbemba Mangulu,Congo DR,1994-08-08,right,DF,182,Congo DR,82,37726
Charly Junior Musonda,Belgium,1996-10-15,right,MD,173,Zambia,66,212651
Paulo Dino Gazzaniga,Argentina,1992-01-02,right,GK,185,Argentina,78,8992
Jordon  Ibe,England,1995-12-08,right,MD,176,Nigeria,81,9739
James  Ward-Prowse,England,1994-11-01,right,MD,173,England,66,8144
Charlie Taylor,England,1993-09-18,left,DF,185,England,72,9164
Dwight Gayle,England,1990-10-17,right,FW,177,Jamaica,73,12536
Arthur Masuaku,France,1993-11-07,left,DF,179,Congo DR,70,26499
Loris Karius,Germany,1993-06-22,right,GK,190,Germany,87,15175
Alex  Pritchard,England,1993-05-03,right,MD,171,England,62,8290
Michael Keane,England,1993-01-11,right,DF,188,England,82,7919
Luke Shaw,England,1995-07-12,left,DF,185,England,75,8135
Sead Kola\u0161inac,Germany,1993-06-20,left,DF,183,Bosnia-Herzegovina,85,14869
Isaac Hayden,England,1995-03-22,right,MD,187,Jamaica,79,134294
Anthony Martial,France,1995-12-05,right,FW,184,Guadeloupe,76,134513
Will Hughes,England,1995-04-17,left,MD,185,England,74,8981
Tom Smith,England,1992-04-14,right,DF,186,England,84,11078
Alexander S\u00f8rloth,Norway,1995-12-05,right,FW,194,Norway,90,55224
Javier Manquillo Gait\u00e1n,Spain,1994-05-05,right,DF,180,Spain,72,3436
El-Hadji Baye Oumar Niasse,Senegal,1990-04-18,right,FW,182,Senegal,82,145692
Matt Macey,England,1994-09-09,right,GK,198,England,81,171166
Calum Chambers,England,1995-01-20,right,DF,182,England,66,171283
H\u00e9ctor Beller\u00edn Moruno,Spain,1995-03-19,right,DF,178,Spain,74,167145
Steve Mouni\u00e9,Benin,1994-09-29,right,FW,190,France,83,214654
Sofiane Boufal,France,1993-09-17,right,MD,170,Morocco,60,215983
Daniel Amartey,Ghana,1994-12-21,right,MD,186,Ghana,79,217078
Andrew Robertson,Scotland,1994-03-11,left,DF,178,Scotland,63,222220
Sam Byram,England,1993-09-16,right,DF,180,England,72,224206
Ayoze P\u00e9rez Guti\u00e9rrez,Spain,1993-07-29,right,FW,179,Spain,66,230883
Jeremie Boga,France,1997-01-03,right,FW,174,C\u00f4te d'Ivoire,72,227756
Jon Gorenc-Stankovi\u010d,Slovenia,1996-01-14,right,DF,190,Slovenia,78,234139
Jerome Sinclair,England,1996-09-20,right,FW,181,Jamaica,75,234408
Joel Pereira Castro,Switzerland,1996-06-28,right,GK,188,Portugal,81,237020
Tyrone Mings,England,1993-03-19,left,DF,196,Barbados,77,239411
Freddie Woodman,England,1997-03-04,right,GK,187,England,77,240270
Ja\u00efro Riedewald,Netherlands,1996-09-09,left,DF,182,Suriname,79,240559
Lys Mousset,France,1996-02-08,right,FW,184,Senegal,80,245813
Alfie Mawson,England,1994-01-19,right,DF,188,England,81,246866
Solly March,England,1994-07-20,left,MD,180,England,72,247248
DeAndre Yedlin,United States,1993-07-09,right,DF,173,Latvia,68,252365
Isaiah Brown,England,1997-01-07,right,FW,182,Jamaica,70,255935
Robert Kenedy Nunes do Nascimento,Brazil,1996-02-08,left,MD,182,Brazil,77,254898
Eric Bertrand  Bailly,C\u00f4te d'Ivoire,1994-04-12,right,DF,187,C\u00f4te d'Ivoire,77,256998
Emerson Hyndman,United States,1996-04-09,right,MD,170,Portugal,61,259531
Erdal Rakip,Sweden,1996-02-13,right,MD,179,Macedonia FYR,73,258141
Georges-Kevin N'Koudou Mbida,France,1995-02-13,right,FW,175,Cameroon,73,270828
Joel Coleman,England,1995-09-26,right,GK,190,England,82,274482
Joe Lolley,England,1992-08-25,left,MD,178,England,72,274488
Connor Mahoney,England,1997-02-12,left,MD,175,England,67,276059
Fousseni Diabat\u00e9,France,1995-10-18,left,FW,175,Mali,60,277002
Kasey Palmer,England,1996-11-09,right,MD,175,England,68,279709
Ainsley Maitland-Niles,England,1997-08-29,right,MD,177,England,71,279717
Jordan Hugill,England,1992-06-04,right,FW,183,England,75,280157
Matt Targett,Scotland,1995-09-18,left,DF,183,England,70,281135
Demarai Gray,England,1996-06-28,right,MD,180,England,74,283142
Oluwatosin Adarabioyo,England,1997-09-24,right,DF,196,Nigeria,80,283145
Nikola Vla\u0161i\u0107,Croatia,1997-10-04,right,MD,178,Croatia,80,284476
Jonjoe Kenny,England,1997-03-15,right,DF,176,England,74,286825
Dominic Solanke,England,1997-09-14,right,FW,185,Nigeria,80,286831
Oliver McBurnie,Scotland,1996-06-04,right,FW,188,Scotland,74,288865
Antonio Mart\u00ednez L\u00f3pez,Spain,1997-06-30,right,FW,187,Spain,70,291231
Fikayo Tomori,Canada,1997-12-19,right,DF,185,England,75,291591
Kyle Scott,England,1997-12-22,right,MD,172,United States,68,291594
Dodi Lukebakio,Congo DR,1997-09-24,left,MD,187,Belgium,77,291528
Dominic Calvert-Lewin,England,1997-03-16,right,FW,176,England,74,293687
Jacob Murphy,England,1995-02-24,right,MD,173,England,67,293686
Reece Burke,England,1996-09-02,right,DF,189,England,81,293823
Sullay Kaikai,England,1995-08-26,right,MD,178,Sierra Leone,70,297258
Sam McQueen,England,1995-02-06,left,MD,181,England,70,297733
Lewis Cook,England,1997-02-03,right,MD,175,England,71,302518
Joshua Sims,England,1997-03-28,left,MD,168,England,67,302520
Philip Billing,Denmark,1996-06-11,left,MD,197,Nigeria,83,303357
Jaros\u0142aw Jach,Poland,1994-02-17,left,DF,190,Poland,81,330271
Mikel Merino Zaz\u00f3n,Spain,1996-06-22,left,MD,187,Spain,79,339789
Tammy Abraham,England,1997-10-02,right,FW,190,Nigeria,82,343951
Oliver Burke,Scotland,1997-04-07,right,MD,188,Scotland,74,346071
Eddie Nketiah,England,1999-05-30,right,FW,178,Ghana,70,346158
Joe Willock,England,1999-08-20,right,MD,179,Montserrat,0,346159
Dujon Sterling,England,1999-10-24,right,DF,180,Jamaica,78,346135
Trevoh Chalobah,Sierra Leone,1999-07-05,right,DF,190,England,77,346131
Tom Davies,England,1998-06-30,right,MD,180,England,78,353236
Lukas Nmecha,England,1998-12-14,right,FW,183,England,80,353241
Layton Ndukwu,England,1998-09-07,left,FW,0,Nigeria,0,353240
Dion Henry,England,1997-09-12,right,GK,191,England,76,353927
Mason Holgate,England,1996-10-22,right,DF,184,Jamaica,63,355937
Sead Hak\u0161abanovi\u0107,Sweden,1999-05-04,right,MD,174,Montenegro,69,361843
Cameron Carter-Vickers,England,1997-12-31,right,DF,183,United States,92,357712
Matt Butcher,England,1997-05-14,left,MD,188,England,83,365718
Josh Cullen,England,1996-04-07,right,MD,175,Ireland Republic,70,365707
Harry Souttar,Scotland,1998-10-22,right,DF,198,Scotland,80,367326
Kazaiah Sterling,England,1998-11-09,right,FW,175,Jamaica,71,368352
Rob Holding,England,1995-09-20,right,DF,189,England,75,370224
Alex Palmer,England,1996-08-10,right,GK,191,England,72,381290
Marcus Browne,England,1997-12-18,right,MD,179,England,74,379203
Grady Diangana,England,1998-04-19,left,MD,181,Congo DR,73,379205
Moses Makasi,England,1995-09-22,,MD,0,England,0,379207
Declan Rice,England,1999-01-14,right,DF,185,Ireland Republic,80,379209
Jordi Osei-Tutu,England,1998-10-02,right,DF,0,Ghana,0,397096
Sam Hughes,England,1997-04-15,,MD,0,England,0,393955
Axel Tuanzebe,Congo DR,1997-11-14,right,DF,185,England,72,397163
Timothy Fosu-Mensah,Netherlands,1998-01-02,right,DF,190,Netherlands,79,397168
Scott McTominay,England,1996-12-08,right,MD,193,England,88,397174
Reiss Nelson,England,1999-12-10,right,MD,176,Zimbabwe,71,397098
Domingos Quina,Guinea-Bissau,1999-11-18,right,MD,173,Portugal,65,399653
Lasse S\u00f8rensen,Denmark,1999-10-21,right,MD,185,Denmark,75,399564
Jayson Molumby,Ireland Republic,1999-08-06,right,MD,177,Ireland Republic,64,399579
Jonathan Leko,Congo DR,1999-04-24,right,FW,183,England,75,399517
Jordan Williams,England,1999-10-22,right,DF,179,England,73,399509
Tyrese Campbell,England,1999-12-28,left,FW,183,England,75,399514
Keshi Anderson,England,1995-04-06,right,FW,175,England,68,399708
Alfie Whiteman,England,1998-10-02,right,GK,186,England,76,401050
Kyle Walker-Peters,England,1997-04-13,right,DF,174,England,64,402884
Brahim Abdelkader Diaz,Spain,1999-08-03,right,MD,170,Morocco,68,404397
Jack Simpson,England,1997-01-08,right,DF,178,England,83,415747
Josh Tymon,England,1999-05-22,left,DF,178,England,74,415748
Hamza Choudhury,England,1997-10-01,right,MD,178,Bangladesh,64,419784
Ethan Ampadu,England,2000-09-14,right,DF,182,Wales,78,423162
Aaron Ramsdale,England,1998-05-14,right,GK,188,England,77,433506
Sam Field,England,1998-05-08,left,MD,185,England,73,434159
Abdelhamid Sabiri,Morocco,1996-11-28,right,MD,183,Germany,80,442211
Kane Wilson,England,2000-03-11,right,DF,178,England,71,442310
Aiden O'Neill,Australia,1998-07-04,right,MD,178,Northern Ireland,70,447043
Phil Foden,England,2000-05-28,left,MD,175,England,68,447205
Nathan Ferguson,England,2000-10-06,right,DF,181,England,70,447248
Max Melbourne,England,1998-10-24,,DF,0,England,0,447252
Rekeem Harper,England,2000-03-08,right,MD,188,England,64,447254
Rayhaan Rahim Amari Tulloch,England,2001-01-20,right,FW,0,England,0,447267
Beni Baningime,Congo DR,1998-09-09,right,MD,178,England,70,447379
Michael Obafemi,Ireland Republic,2000-07-06,right,FW,169,Nigeria,71,447538
Nathan Trott,Bermuda,1998-11-21,,GK,0,England,0,447762
Joy Mukena,England,1999-07-03,,DF,0,England,0,447782
Thomas Edwards,England,1999-01-22,right,DF,175,England,76,447812
Ben Johnson,England,2000-01-24,right,DF,175,England,67,447963
Tashan Oakley-Boothe,England,2000-02-14,right,MD,182,Jamaica,76,447965
Julien Ngoy,Belgium,1997-11-02,right,FW,185,Belgium,70,448038
Callum Hudson-Odoi,England,2000-11-07,right,MD,182,Ghana,79,450826
Juan Marcos Foyth,Argentina,1998-01-12,right,DF,182,Spain,69,456053
Aaron Wan-Bissaka,England,1997-11-26,right,DF,183,Congo DR,72,486252
Carl Stewart,England,1997-05-02,,MD,174,England,68,487048
Michael Folivi,England,1998-02-25,right,FW,180,Ghana,79,487049
Kyle Jameson,England,1998-09-11,left,DF,186,England,73,491343
Nya Kirby,England,2000-01-31,right,MD,173,England,66,497988
Jason Eyenga-Lokilo,Belgium,1998-09-17,left,FW,175,Congo DR,65,520317
Levi Lumeka,England,1998-09-05,right,FW,170,Congo DR,71,531655
Dwight McNeil,England,1999-11-22,,MD,0,England,0,532949
Conor Masterson,Ireland Republic,1998-09-08,right,DF,189,Ireland Republic,75,302640
